               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.083269,            0.056667,            0.040204,             0.02697,             0.21544,            0.032458,           0.0058412,            0.050505,            0.044999,            0.030669,             0.00122,             0.00122,             0.08902
                   1,            0.060099,            0.058638,            0.037758,             0.19668,             0.56146,             0.24368,            0.087438,            0.035868,            0.032918,            0.028372,           0.0024485,           0.0024485,            0.077948
                   2,            0.051367,            0.045524,             0.03572,             0.17884,             0.49213,              0.2213,             0.08227,            0.037114,            0.027257,             0.02397,           0.0036709,           0.0036709,            0.066871
                   3,            0.049833,            0.039366,            0.032176,             0.49024,             0.42834,             0.41368,             0.19148,            0.042691,            0.022346,            0.022287,           0.0048828,           0.0048828,            0.055783
                   4,            0.047567,            0.036787,            0.030748,             0.29298,             0.45953,             0.29423,            0.097468,            0.039955,            0.023176,            0.020107,           0.0060796,           0.0060796,             0.04468
                   5,            0.048733,            0.035733,            0.028508,             0.36533,             0.62068,              0.4008,             0.18035,            0.039301,            0.022082,            0.018103,            0.007257,            0.007257,            0.033557
                   6,            0.046882,            0.032379,            0.026207,             0.37331,             0.80678,             0.45873,             0.17012,            0.038024,            0.024402,            0.016667,           0.0084106,           0.0084106,            0.022411
                   7,            0.048599,            0.034831,            0.025329,             0.41871,             0.66297,             0.55812,             0.21941,            0.036694,            0.025545,            0.014712,           0.0095362,           0.0095362,            0.011236
                   8,            0.048854,             0.03766,             0.02378,              0.5101,              0.6894,             0.66962,             0.28807,            0.029842,            0.023817,            0.012441,            0.009611,            0.009611,            0.009611
                   9,            0.041324,            0.031012,            0.021736,             0.59647,             0.72771,             0.73739,             0.37213,            0.028857,            0.021469,            0.010617,            0.009611,            0.009611,            0.009611
                  10,            0.037428,            0.032221,            0.017602,              0.5019,             0.68246,             0.61712,              0.2104,            0.033627,            0.022209,            0.009073,           0.0095095,           0.0095095,           0.0095095
                  11,            0.043643,            0.034267,             0.01758,             0.69305,             0.75973,                0.77,             0.44997,            0.022729,            0.021843,           0.0090607,           0.0093971,           0.0093971,           0.0093971
                  12,            0.036436,            0.033056,            0.016443,             0.58012,             0.70269,             0.71256,             0.42749,            0.027082,            0.021049,           0.0074151,            0.009274,            0.009274,            0.009274
                  13,             0.03582,            0.029076,            0.015138,             0.78065,             0.83197,             0.87324,             0.63706,            0.022954,            0.021317,           0.0075396,           0.0091406,           0.0091406,           0.0091406
                  14,            0.030236,            0.028498,            0.013292,             0.72125,             0.83348,             0.82205,             0.53987,            0.023681,            0.021558,           0.0057214,           0.0089972,           0.0089972,           0.0089972
